Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,1,78,8,Some Random Commen with Id 0
1,0,1,147,5,Some Random Commen with Id 1
2,1,1,173,2,Some Random Commen with Id 2
3,1,1,89,7,Some Random Commen with Id 3
4,1,1,146,3,Some Random Commen with Id 4
5,1,1,24,8,Some Random Commen with Id 5
6,2,1,3,2,Some Random Commen with Id 6
7,2,1,152,6,Some Random Commen with Id 7
8,2,1,79,2,Some Random Commen with Id 8
9,2,1,144,3,Some Random Commen with Id 9
10,3,9,61,9,Some Random Commen with Id 10
11,3,9,84,1,Some Random Commen with Id 11
12,3,9,126,0,Some Random Commen with Id 12
13,3,9,41,4,Some Random Commen with Id 13
14,3,9,70,1,Some Random Commen with Id 14
15,4,2,41,4,Some Random Commen with Id 15
16,5,9,39,5,Some Random Commen with Id 16
17,5,9,41,7,Some Random Commen with Id 17
18,5,9,49,6,Some Random Commen with Id 18
19,5,9,39,7,Some Random Commen with Id 19
20,6,5,139,0,Some Random Commen with Id 20
21,6,5,182,2,Some Random Commen with Id 21
22,6,5,0,4,Some Random Commen with Id 22
23,8,6,186,1,Some Random Commen with Id 23
24,8,6,79,3,Some Random Commen with Id 24
25,8,6,117,0,Some Random Commen with Id 25
26,8,6,116,8,Some Random Commen with Id 26
27,8,6,106,7,Some Random Commen with Id 27
28,8,6,164,5,Some Random Commen with Id 28
29,8,6,113,1,Some Random Commen with Id 29
30,8,6,145,4,Some Random Commen with Id 30
31,9,3,120,1,Some Random Commen with Id 31
32,9,3,184,5,Some Random Commen with Id 32
33,9,3,80,1,Some Random Commen with Id 33
34,9,3,83,0,Some Random Commen with Id 34
35,9,3,110,6,Some Random Commen with Id 35
36,9,3,82,0,Some Random Commen with Id 36
37,9,3,198,7,Some Random Commen with Id 37
38,10,4,140,5,Some Random Commen with Id 38
39,11,5,56,8,Some Random Commen with Id 39
40,11,5,148,7,Some Random Commen with Id 40
41,12,9,76,0,Some Random Commen with Id 41
42,12,9,134,4,Some Random Commen with Id 42
43,12,9,170,5,Some Random Commen with Id 43
44,12,9,74,2,Some Random Commen with Id 44
45,12,9,64,5,Some Random Commen with Id 45
46,12,9,83,6,Some Random Commen with Id 46
47,13,0,79,4,Some Random Commen with Id 47
48,15,0,150,8,Some Random Commen with Id 48
49,15,0,115,4,Some Random Commen with Id 49
50,15,0,120,2,Some Random Commen with Id 50
51,15,0,50,7,Some Random Commen with Id 51
52,16,0,22,3,Some Random Commen with Id 52
53,16,0,196,1,Some Random Commen with Id 53
54,16,0,123,7,Some Random Commen with Id 54
55,16,0,61,8,Some Random Commen with Id 55
56,16,0,64,1,Some Random Commen with Id 56
57,16,0,191,8,Some Random Commen with Id 57
58,16,0,63,8,Some Random Commen with Id 58
